"","Total_CO2_capture","year","file_id","group"
"407",2.99283732,3.85353247082699,3,"6"
"408",3.00127806,3.87855149670218,3,"6"
"409",3.00974168,3.90357052257737,3,"6"
"410",3.01816218,3.92862125824455,3,"6"
"411",3.02660578,3.95364028411974,3,"6"
"412",3.03500626,3.97865930999493,3,"6"
"413",3.04334162,4.00367833587012,3,"6"
"414",3.05158986,4.02869736174531,3,"6"
"415",3.0597292,4.0537163876205,3,"6"
"416",3.06775942,4.07873541349569,3,"6"
"417",3.07585652,4.10375443937088,3,"6"
"418",3.08388872,4.12880517503805,3,"6"
"419",3.0918778,4.15382420091324,3,"6"
"420",3.09982376,4.17884322678843,3,"6"
"421",3.10781482,4.20386225266362,3,"6"
"422",3.11574076,4.22888127853881,3,"6"
"423",3.1236898,4.253900304414,3,"6"
"424",3.13166172,4.27891933028919,3,"6"
"425",3.13954652,4.30393835616438,3,"6"
"426",3.14745442,4.32898909183156,3,"6"
"427",3.1554292,4.35400811770675,3,"6"
"428",3.16349308,4.37902714358194,3,"6"
"429",3.17160184,4.40404616945713,3,"6"
"430",3.1796237,4.42906519533232,3,"6"
"431",3.18760244,4.45408422120751,3,"6"
"432",3.19564828,4.4791032470827,3,"6"
"433",3.203629,4.50412227295789,3,"6"
"434",3.21158882,4.52917300862506,3,"6"
"435",3.21950552,4.55419203450025,3,"6"
"436",3.22742332,4.57921106037544,3,"6"
"437",3.23534222,4.60423008625063,3,"6"
"438",3.243262,4.62924911212582,3,"6"
"439",3.25111688,4.65426813800102,3,"6"
"440",3.25901664,4.6792871638762,3,"6"
"441",3.2668735,4.7043061897514,3,"6"
"442",3.27468746,4.72935692541857,3,"6"
"443",3.2824583,4.75437595129376,3,"6"
"444",3.29027424,4.77939497716895,3,"6"
"445",3.29800328,4.80441400304414,3,"6"
"446",3.3058212,4.82943302891933,3,"6"
"447",3.31357422,4.85445205479452,3,"6"
"448",3.32130634,4.87947108066971,3,"6"
"449",3.32899556,4.9044901065449,3,"6"
"450",3.33668588,4.92954084221208,3,"6"
"451",3.34435508,4.95455986808727,3,"6"
"452",3.35200338,4.97957889396246,3,"6"
"453",3.35960878,5.00459791983765,3,"6"
"454",0.00255354,0,4,"6"
"455",0.125227564,0.0200183916793506,4,"6"
"456",0.2689148,0.0400367833587012,4,"6"
"457",0.40239386,0.0600551750380518,4,"6"
"458",0.52544206,0.0800735667174023,4,"6"
"459",0.63896602,0.100091958396753,4,"6"
"460",0.7431292,0.120110350076104,4,"6"
"461",0.8385663,0.140128741755454,4,"6"
"462",0.92548016,0.160147133434805,4,"6"
"463",1.00457192,0.180165525114155,4,"6"
"464",1.07594828,0.200183916793506,4,"6"
"465",1.14022216,0.220202308472856,4,"6"
"466",1.19793322,0.240220700152207,4,"6"
"467",1.24944028,0.260239091831558,4,"6"
"468",1.29522492,0.280257166412988,4,"6"
"469",1.33580414,0.300275558092339,4,"6"
"470",1.37145316,0.320294266869609,4,"6"
"471",1.40287796,0.34031265854896,4,"6"
"472",1.43049214,0.36033105022831,4,"6"
"473",1.4547401,0.380349441907661,4,"6"
"474",1.47599364,0.400367833587012,4,"6"
"475",1.49546518,0.420386225266362,4,"6"
"476",1.5121381,0.440404616945713,4,"6"
"477",1.5272268,0.460423008625063,4,"6"
"478",1.5410175,0.480441400304414,4,"6"
"479",1.55385758,0.500459791983765,4,"6"
"480",1.56603744,0.520478183663115,4,"6"
"481",1.5777531,0.540496575342466,4,"6"
"482",1.58926834,0.560514967021816,4,"6"
"483",1.60065158,0.580533358701167,4,"6"
"484",1.6120544,0.600551750380518,4,"6"
"485",1.62334502,0.620570142059868,4,"6"
"486",1.63463542,0.640588533739219,4,"6"
"487",1.64585542,0.660606925418569,4,"6"
"488",1.6570554,0.68062531709792,4,"6"
"489",1.66822898,0.70064370877727,4,"6"
"490",1.67935834,0.720662100456621,4,"6"
"491",1.6904217,0.740680492135972,4,"6"
"492",1.70145844,0.760698883815322,4,"6"
"493",1.71247318,0.780717275494673,4,"6"
"494",1.72342192,0.800735667174023,4,"6"
"495",1.73432424,0.820754058853374,4,"6"
"496",1.74522436,0.840772450532725,4,"6"
"497",1.75608048,0.860790842212075,4,"6"
"498",1.7668706,0.880809233891426,4,"6"
"499",1.7776583,0.900827625570776,4,"6"
"500",1.7883558,0.920846017250127,4,"6"
